名称,地址,房型,面积,朝向,装修,楼层,建成时间,楼层结构,总价格,平方价格,关注度,发布时间
英伦金沙 2室2厅 西北,外金沙,2室2厅,67.34平米,西北,精装,高楼层(共24层),2011年建,板塔结合,96万,"14,257元/平",0人关注,6天以前发布
龙城国际 3室2厅 西南 西北,橡树湾,3室2厅,109.07平米,西南 西北,精装,高楼层(共33层),2013年建,板塔结合,185万,"16,962元/平",0人关注,11天以前发布
洛森堡 3室2厅 南,海洋公园,3室2厅,92.74平米,南,精装,低楼层(共34层),2011年建,塔楼,175万,"18,870元/平",202人关注,12天以前发布
瑞安城中汇 2室2厅 东 南,金牛万达,2室2厅,88.79平米,东 南,精装,低楼层(共39层),2015年建,塔楼,180万,"20,273元/平",0人关注,7天以前发布
凯德卓锦万黛 3室1厅 西,大面,3室1厅,88.93平米,西,精装,中楼层(共39层),2015年建,板塔结合,152万,"17,093元/平",0人关注,13天以前发布
世纪光华 3室2厅 东南 南,花都大道,3室2厅,97.98平米,东南 南,简装,中楼层(共6层),2007年建,板塔结合,85万,"8,676元/平",0人关注,14天以前发布
和贵久居福 3室1厅 北,航空港,3室1厅,128.67平米,北,精装,中楼层(共18层),2008年建,塔楼,170万,"13,213元/平",0人关注,11天以前发布
新都国际广场二期 2室1厅 南,新都城区,2室1厅,86.73平米,南,精装,高楼层(共29层),2013年建,塔楼,82万,"9,455元/平",0人关注,7天以前发布
安居苑(温江) 3室1厅 东南 南,温江老城,3室1厅,127.79平米,东南 南,精装,低楼层(共7层),2000年建,板楼,91万,"7,122元/平",2人关注,10天以前发布
滨河丽景 3室1厅 北,驷马桥,3室1厅,121.75平米,北,简装,高楼层(共17层),2009年建,板楼,165万,"13,553元/平",0人关注,11天以前发布
长富花园 3室2厅 西北,人民公园,3室2厅,127.34平米,西北,简装,高楼层(共26层),2002年建,塔楼,236万,"18,534元/平",1人关注,9天以前发布
万达锦华城 1室1厅 东,东湖,1室1厅,41.01平米,东,简装,30层,2008年建,板塔结合,42万,"10,242元/平",0人关注,4天以前发布
中大君悦金沙五期 2室1厅 西南,金沙,2室1厅,83.18平米,西南,精装,低楼层(共23层),2012年建,板塔结合,230万,"27,651元/平",0人关注,7天以前发布
米兰香洲 3室2厅 西北,外金沙,3室2厅,129.67平米,西北,精装,中楼层(共18层),2007年建,板楼,245万,"18,895元/平",2人关注,13天以前发布
云锦城市花园 2室2厅 东南,五大花园,2室2厅,68.79平米,东南,精装,中楼层(共11层),2012年建,板塔结合,136万,"19,771元/平",0人关注,7天以前发布
